Eta  H  K  L  Epoch  Sec  ion1  Hubmon  scan_bar  Filters  Correct  Qmag  Energy  Graze  p_peak  p_total  p_del_s  p_nu_s  p_image  p_xcen  p_xsig  p_ycen  p_ysig  power  tempsp  gun_on  ion0  p_point
23.3 -0.202937 -0.22596 5.9976 57322 1.0000007 280839 102852 6 2 643334.33 9.3873904 22.1003 23.3 258 1349955 292801 52848 0 0 0 0 0 0 0 553 309241 21580
23.306625 -0.202937 -0.225266 5.99763 57323 1.0000007 280947 102972 5 2 655914.82 9.3873904 22.1003 23.306625 221 1350790 293261 53127 1 0 0 0 0 0 0 553 309334 22002
23.313375 -0.202937 -0.22456 5.99766 57325 1.0000007 280856 102887 5 2 647060.78 9.3873904 22.1003 23.313375 266 1349433 293645 52781 2 0 0 0 0 0 0 553 309260 21705
23.32 -0.202937 -0.223866 5.99768 57326 1.0000007 280966 102961 4 2 659313.35 9.3873904 22.1003 23.32 231 1352473 292766 52742 3 0 0 0 0 0 0 553 309364 22116
23.326625 -0.202937 -0.223173 5.99771 57328 1.0000007 280847 102864 5 2 641635.07 9.3873904 22.1003 23.326625 241 1351614 293530 52563 4 0 0 0 0 0 0 553 309231 21523
23.333375 -0.202937 -0.222466 5.99773 57329 1.0000007 280975 102980 6 2 652903.85 9.3873904 22.1003 23.333375 204 1353113 294088 52976 5 0 0 0 0 0 0 553 309378 21901
23.34 -0.202937 -0.221773 5.99776 57331 1.0000007 280980 102970 6 2 652605.74 9.3873904 22.1003 23.34 253 1354914 294452 53115 6 0 0 0 0 0 0 553 309366 21891
23.346625 -0.202937 -0.221079 5.99778 57332 1.0000007 280946 102978 6 2 643602.63 9.3873904 22.1003 23.346625 242 1352326 293350 52568 7 0 0 0 0 0 0 553 309339 21589
23.353375 -0.202937 -0.220373 5.99781 57334 1.0000007 280995 103028 5 2 654543.49 9.3873904 22.1003 23.353375 218 1351461 292991 52932 8 0 0 0 0 0 0 553 309379 21956
23.36 -0.202937 -0.219679 5.99784 57335 1.0000007 280955 102986 5 2 653708.76 9.3873904 22.1003 23.36 240 1352845 293708 53164 9 0 0 0 0 0 0 553 309346 21928
23.366625 -0.202937 -0.218986 5.99786 57337 1.0000007 279793 102550 6 2 646613.6 9.3873904 22.1003 23.366625 206 1347363 293155 52703 10 0 0 0 0 0 0 553 308129 21690
23.373375 -0.202937 -0.218279 5.99789 57338 1.0000007 281311 103134 6 2 653798.2 9.3873904 22.1003 23.373375 253 1354457 294940 53110 11 0 0 0 0 0 0 553 309708 21931
23.38 -0.202937 -0.217585 5.99791 57340 1.0000007 281378 103229 5 2 653678.95 9.3873904 22.1003 23.38 272 1355249 294113 52863 12 0 0 0 0 0 0 553 309769 21927
23.386625 -0.202937 -0.216892 5.99794 57341 1.0000007 281315 103220 5 2 648551.36 9.3873904 22.1003 23.386625 219 1353158 294596 52627 13 0 0 0 0 0 0 553 309722 21755
23.393375 -0.202937 -0.216185 5.99796 57343 1.0000007 281272 103187 4 2 655944.63 9.3873904 22.1003 23.393375 238 1352825 293777 53019 14 0 0 0 0 0 0 553 309673 22003
23.4 -0.202937 -0.215492 5.99799 57344 1.0000007 281404 103251 5 2 650191 9.3873904 22.1003 23.4 237 1352302 293521 52944 15 0 0 0 0 0 0 553 309812 21810
23.406625 -0.202937 -0.214798 5.99801 57345 1.0000007 281379 103219 4 2 653440.46 9.3873904 22.1003 23.406625 249 1355758 293503 52982 16 0 0 0 0 0 0 553 309781 21919
23.413375 -0.202937 -0.214092 5.99804 57347 1.0000007 281476 103253 5 2 646345.3 9.3873904 22.1003 23.413375 276 1353868 293973 52794 17 0 0 0 0 0 0 553 309866 21681
23.42 -0.202937 -0.213398 5.99806 57348 1.0000007 281526 103379 6 2 649445.71 9.3873904 22.1003 23.42 217 1354004 293470 52722 18 0 0 0 0 0 0 553 309933 21785
23.426625 -0.202937 -0.212705 5.99809 57350 1.0000007 281434 103274 5 2 649952.5 9.3873904 22.1003 23.426625 230 1356090 295199 52887 19 0 0 0 0 0 0 553 309836 21802
23.433375 -0.202937 -0.211998 5.99811 57351 1.0000007 281370 103254 5 2 660654.87 9.3873904 22.1003 23.433375 232 1354162 294508 52950 20 0 0 0 0 0 0 553 309740 22161
23.44 -0.202937 -0.211304 5.99814 57353 1.0000007 281359 103302 4 2 651592.14 9.3873904 22.1003 23.44 244 1354991 294344 53006 21 0 0 0 0 0 0 553 309770 21857
23.446625 -0.202937 -0.210611 5.99816 57354 1.0000007 281491 103285 5 2 653887.63 9.3873904 22.1003 23.446625 280 1355230 294862 52852 22 0 0 0 0 0 0 553 309888 21934
23.453375 -0.202937 -0.209904 5.99819 57356 1.0000007 281408 103296 5 2 648461.92 9.3873904 22.1003 23.453375 232 1354827 294457 52871 23 0 0 0 0 0 0 553 309802 21752
23.46 -0.202937 -0.209211 5.99821 57357 1.0000007 281418 103300 4 2 655020.48 9.3873904 22.1003 23.46 209 1354887 294237 53121 24 0 0 0 0 0 0 553 309803 21972
23.466625 -0.202937 -0.208517 5.99823 57359 1.0000007 281553 103413 6 2 652307.62 9.3873904 22.1003 23.466625 239 1355129 293921 53077 25 0 0 0 0 0 0 553 309953 21881
23.473375 -0.202937 -0.20781 5.99826 57360 1.0000007 281406 103378 5 2 644228.68 9.3873904 22.1003 23.473375 252 1355384 294036 52727 26 0 0 0 0 0 0 553 309763 21610
23.48 -0.202937 -0.207117 5.99828 57362 1.0000007 281388 103409 5 2 651055.53 9.3873904 22.1003 23.48 246 1353884 294091 52892 27 0 0 0 0 0 0 553 309770 21839
23.486625 -0.202937 -0.206423 5.99831 57363 1.0000007 281633 103491 6 2 651443.08 9.3873904 22.1003 23.486625 262 1354858 294215 52957 28 0 0 0 0 0 0 553 310036 21852
23.493375 -0.202937 -0.205717 5.99833 57365 1.0000007 281439 103416 4 2 649833.26 9.3873904 22.1003 23.493375 243 1354383 294967 52945 29 0 0 0 0 0 0 553 309811 21798
